rank,review_id,triage_score,severity_weight,category,star_rating,date,app_version,text
1,R01070,5.160626083293361,5.0,crash,1,2026-09-17,3.2.0,App keeps crashing every time I open the living room bulb controls on version 3.4.0.
2,R00500,5.160626083293361,5.0,crash,1,2026-09-17,3.2.1,App force closes during thermostat setup on the very last step. Unacceptable. Support was no help.
3,R01102,5.004068916272116,5.0,crash,1,2026-09-13,3.2.0,Rotated my phone while on the smart lock page and the app crashed instantly.
4,R00504,4.927580486553763,5.0,crash,1,2026-09-11,3.4.1,Background crash loop drained my patience -- kitchen plug alerts kill the app. Reinstalling didn't help.
5,R00784,4.778093190091527,5.0,crash,1,2026-09-07,3.3.2,App crashes when I try to view the video doorbell live feed. Was fine before 3.3.2. Considering switching apps.
6,R00070,4.705058855178667,5.0,crash,1,2026-09-05,3.4.1,App force closes during smoke detector setup on the very last step. Unacceptable. Considering switching apps.
7,R00722,4.705058855178667,5.0,crash,1,2026-09-05,3.3.0,App force closes during smart lock setup on the very last step. Unacceptable. Considering switching apps.
8,R00909,4.389975139004098,5.0,crash,1,2026-08-27,3.3.2,Opening the smart plug tab makes the app freeze then crash. Please fix this. Support was no help.
9,R00655,4.348361859532394,4.0,connectivity,1,2026-09-17,3.4.0,App disconnects from the smoke detector whenever my phone switches between Wi-Fi and data. Hope this gets fixed soon.
10,R00591,4.315000993677895,4.0,connectivity,1,2026-09-16,3.4.0,The security camera works in the old app but this version 3.4.0 can't maintain a connection. Anyone else seeing this?
11,R00947,4.256797098207627,5.0,crash,1,2026-08-23,3.4.0,Crash after crash. The app dies the moment I tap my security camera.
12,R00148,4.225,5.0,crash,2,2026-09-20,3.4.1,"I love this app overall, but it crashes every time I open the kitchen plug controls."
13,R00960,4.216446234776032,4.0,connectivity,1,2026-09-13,3.2.0,Intermittent connectivity: security camera responds maybe one time out of three. Really disappointing.
14,R01036,4.216446234776032,4.0,connectivity,1,2026-09-13,3.4.1,App disconnects from the security camera whenever my phone switches between Wi-Fi and data. Anyone else seeing this?
15,R01029,4.192585572960936,5.0,crash,2,2026-09-19,3.4.1,Opening the thermostat tab makes the app freeze then crash. Please fix this. This started after the update.
16,R00252,4.192585572960936,5.0,crash,2,2026-09-19,3.4.1,The app won't stay open for more than a few seconds if the smoke detector is online.
