review_id,text,star_rating,date,app_version,is_defect,category
R00000,No offline errors at all -- the smoke detector stays connected all day. Anyone else seeing this?,3,2026-08-09,3.2.0,0,praise
R00001,"My smoke detector shows offline in the app constantly, but my Wi-Fi is fine. Honestly pretty annoyed.",2,2026-08-22,3.4.0,1,connectivity
R00002,Scrolling the kitchen plug event history stutters and freezes the whole app.,2,2026-04-25,3.3.0,1,performance
R00003,The app used 25% of my battery in 3 hours just syncing the thermostat. This started after the update.,2,2026-03-09,3.3.2,1,battery_drain
R00004,Text is cut off on the video doorbell details screen on my small phone. Really disappointing.,2,2026-05-01,3.3.0,1,ui_bug
R00005,Does the garage sensor work without Wi-Fi? Wondering about offline mode. Otherwise I like the app.,3,2026-03-29,3.3.0,0,question
R00006,"Notification badges never clear for the smart plug, even after I read everything.",2,2026-05-10,3.2.1,1,ui_bug
R00007,Biometric login crashes back to the password field on 3.2.0. Honestly pretty annoyed.,1,2026-01-21,3.3.0,1,login_auth
R00008,"Love the automations, but the garage sensor live view buffers constantly. Really disappointing.",1,2026-08-27,3.2.1,1,performance
R00009,The bedroom speaker pairs fine in Bluetooth settings but the app says device not found. Support was no help.,2,2026-07-09,3.2.1,1,connectivity
R00010,The new 3.4.1 update made the security camera controls so much snappier. Great work. Support was no help.,4,2026-02-06,3.3.2,0,praise
R00011,Firmware update for the thermostat failed halfway and now the app won't connect at all. Considering switching apps.,3,2026-03-04,3.4.1,1,connectivity
R00012,Please add multi-home support -- I have a bedroom speaker at two houses. This started after the update.,3,2026-01-06,3.4.1,0,feature_request
R00013,Zero crashes so far and no battery drain. The living room bulb just works. Reinstalling didn't help.,5,2026-04-16,3.2.1,0,praise
R00014,Biometric login crashes back to the password field on 3.3.0. This started after the update.,4,2026-01-14,3.2.0,1,login_auth
R00015,How do I reset the smart lock energy stats? They seem off this month.,3,2026-02-17,3.4.1,0,question
R00016,"Five stars for the features, but the battery drain from the garage sensor sync is brutal.",1,2026-05-20,3.4.0,1,battery_drain
R00017,"Simple, fast, reliable. Exactly what I want for my living room bulb. Really disappointing.",5,2026-07-15,3.3.2,0,praise
R00018,Zero crashes so far and no battery drain. The smart lock just works. Honestly pretty annoyed.,5,2026-01-08,3.2.0,0,praise
R00019,Haven't seen a single crash since 3.3.0. The smart lock controls are fast and reliable. Really disappointing.,3,2026-09-10,3.2.1,0,praise
R00020,"'Account not found' error on login, but the website works fine with the same email. Honestly pretty annoyed.",2,2026-02-22,3.2.0,1,login_auth
R00021,Love this app! My video doorbell setup took five minutes and everything just works. Support was no help.,5,2026-06-27,3.2.0,0,praise
R00022,"Sync fails repeatedly with the garage sensor. Spinning loader, then 'connection timeout'.",1,2026-08-19,3.4.0,1,connectivity
R00023,"My smart lock shows offline in the app constantly, but my Wi-Fi is fine. Support was no help.",4,2026-09-10,3.3.2,1,connectivity
R00024,Every time I adjust the bedroom speaker settings the app force quits. So frustrating. This started after the update.,1,2026-05-31,3.3.2,1,crash
R00025,Please add a vacation mode that randomizes the garage sensor schedule. Honestly pretty annoyed.,4,2026-06-05,3.2.1,0,feature_request
R00026,Please add a vacation mode that randomizes the kitchen plug schedule.,2,2026-09-06,3.4.0,0,feature_request
R00027,"Saw a weird UI glitch on the security camera page yesterday, gone after the restart. Still five stars. Anyone else seeing this?",3,2026-02-08,3.4.1,0,praise
R00028,Everything about the smart plug integration feels polished. Highly recommend. Support was no help.,5,2026-06-15,3.3.0,0,praise
R00029,Woke up to a dead phone. The app was top of battery stats because of the living room bulb. Otherwise I like the app.,1,2026-02-11,3.2.0,1,battery_drain
R00030,The app logs me out every day and I have to sign back in to see my smoke detector.,2,2026-07-02,3.2.0,1,login_auth
R00031,"Simple, fast, reliable. Exactly what I want for my smoke detector. Really disappointing.",4,2026-06-07,3.4.1,0,praise
R00032,"Since 3.3.0, the app drains battery even in the background. security camera polling is out of control. Hope this gets fixed soon.",2,2026-04-22,3.4.1,1,battery_drain
R00033,Video from the thermostat buffers constantly even on fast Wi-Fi. Really disappointing.,2,2026-08-09,3.3.0,1,performance
R00034,The latest update crashes on launch whenever my garage sensor is connected. Considering switching apps.,1,2026-08-11,3.4.0,1,crash
R00035,"Five stars for the features, but the battery drain from the kitchen plug sync is brutal. Reinstalling didn't help.",2,2026-03-21,3.3.2,1,battery_drain
R00036,Can't log in since 3.4.1 -- 'invalid credentials' even though my password is right. Honestly pretty annoyed.,3,2026-02-26,3.3.0,1,login_auth
R00037,Where do I find the firmware version of my security camera in the app?,5,2026-04-05,3.3.2,0,question
R00038,Woke up to a dead phone. The app was top of battery stats because of the smart lock.,3,2026-03-01,3.3.2,1,battery_drain
R00039,Is there a way to get push notifications only for the garage sensor and not the other devices? Hope this gets fixed soon.,3,2026-05-01,3.2.1,0,question
R00040,"Since 3.3.0, the app drains battery even in the background. living room bulb polling is out of control. Really disappointing.",4,2026-07-28,3.4.1,1,battery_drain
R00041,Haven't seen a single crash since 3.2.0. The living room bulb controls are fast and reliable.,4,2026-08-15,3.3.0,0,praise
R00042,The app keeps getting better. My smart lock has never been easier to manage.,5,2026-08-16,3.2.0,0,praise
R00043,"Notification badges never clear for the bedroom speaker, even after I read everything. Really disappointing.",1,2026-06-23,3.4.0,1,ui_bug
R00044,Toggle switches on the bedroom speaker page don't reflect the real state. Confusing. Support was no help.,2,2026-06-05,3.4.0,1,ui_bug
R00045,"Two-factor code never arrives, so I'm locked out of controlling my living room bulb. Reinstalling didn't help.",2,2026-01-05,3.3.0,1,login_auth
R00046,Intermittent connectivity: garage sensor responds maybe one time out of three. Really disappointing.,1,2026-04-24,3.4.0,1,connectivity
R00047,Scrolling the living room bulb event history stutters and freezes the whole app. Really disappointing.,2,2026-06-25,3.2.0,1,performance
R00048,Would love Apple Watch support to check the smart lock quickly.,3,2026-01-28,3.2.1,0,feature_request
R00049,It would be great if the app supported widgets for the smart plug on the lock screen. Considering switching apps.,4,2026-07-20,3.3.2,0,feature_request
R00050,"I love this app overall, but it crashes every time I open the video doorbell controls. Honestly pretty annoyed.",3,2026-04-05,3.4.1,1,crash
R00051,The app looks beautiful but everything lags; opening the video doorbell takes forever.,4,2026-08-30,3.4.1,1,performance
R00052,Battery saver mode does nothing -- the smoke detector stream keeps running in the background. Reinstalling didn't help.,2,2026-08-21,3.2.1,1,battery_drain
R00053,No offline errors at all -- the smoke detector stays connected all day. Really disappointing.,4,2026-05-07,3.3.0,0,praise
R00054,The app used 25% of my battery in 3 hours just syncing the smoke detector.,1,2026-03-23,3.2.1,1,battery_drain
R00055,"Really like the design, but logging in has been broken for me since 3.3.0. Reinstalling didn't help.",1,2026-08-31,3.3.2,1,login_auth
R00056,The thermostat works in the old app but this version 3.4.0 can't maintain a connection. Support was no help.,4,2026-09-06,3.2.0,1,connectivity
R00057,The app keeps getting better. My smoke detector has never been easier to manage. Honestly pretty annoyed.,5,2026-09-11,3.2.1,0,praise
R00058,Intermittent connectivity: bedroom speaker responds maybe one time out of three.,2,2026-09-01,3.2.1,1,connectivity
R00059,The bedroom speaker schedules are flexible and the app never misses a beat. This started after the update.,2,2026-04-08,3.2.0,0,praise
R00060,'Device offline' error all day for my bedroom speaker even though it's two feet from the router. Support was no help.,3,2026-05-14,3.2.0,1,connectivity
R00061,App crashes when I try to view the video doorbell live feed. Was fine before 3.4.1.,1,2026-01-20,3.2.1,1,crash
R00062,"Five stars for features, one star for the battery drain -- the garage sensor sync never sleeps.",1,2026-04-26,3.3.2,1,battery_drain
R00063,Feature request: let me export video doorbell history to CSV for my energy audit. Hope this gets fixed soon.,4,2026-03-01,3.4.0,0,feature_request
R00064,The back button from the smart lock settings dumps me to the login screen instead of home. Anyone else seeing this?,1,2026-05-09,3.2.0,1,ui_bug
R00065,Everything about the kitchen plug integration feels polished. Highly recommend. Support was no help.,5,2026-07-13,3.2.0,0,praise
R00066,Switching rooms with the kitchen plug takes ages -- the UI just hangs. This started after the update.,1,2026-03-24,3.3.2,1,performance
R00067,The smoke detector status card shows yesterday's data until I force-refresh the app. This started after the update.,3,2026-08-16,3.4.1,1,ui_bug
R00068,"Since 3.2.1, the app drains battery even in the background. garage sensor polling is out of control. This started after the update.",1,2026-07-18,3.3.0,1,battery_drain
R00069,Opening the living room bulb tab makes the app freeze then crash. Please fix this. Hope this gets fixed soon.,1,2026-05-26,3.4.0,1,crash
R00070,App force closes during smoke detector setup on the very last step. Unacceptable. Considering switching apps.,1,2026-09-05,3.4.1,1,crash
R00071,"Battery use was high for a day after the update, then settled. The smart lock works flawlessly. Really disappointing.",4,2026-07-12,3.3.2,0,praise
R00072,Biometric login crashes back to the password field on 3.3.0. Hope this gets fixed soon.,1,2026-05-13,3.2.1,1,login_auth
R00073,The app won't stay open for more than a few seconds if the security camera is online. Honestly pretty annoyed.,4,2026-09-09,3.3.0,1,crash
R00074,How do I reset the smart lock energy stats? They seem off this month. Honestly pretty annoyed.,5,2026-07-08,3.2.1,0,question
R00075,App keeps crashing every time I open the smoke detector controls on version 3.3.0. Considering switching apps.,5,2026-03-10,3.4.1,1,crash
R00076,"Clean design, fast, and the kitchen plug widgets are super handy.",5,2026-05-14,3.3.2,0,praise
R00077,"Huge fan of the product, but the UI on the thermostat page is glitchy and unreadable.",1,2026-06-09,3.2.0,1,ui_bug
R00078,Everything about the smoke detector integration feels polished. Highly recommend. This started after the update.,4,2026-08-19,3.3.0,0,praise
R00079,How do I reset the thermostat energy stats? They seem off this month. Considering switching apps.,4,2026-02-24,3.2.1,0,question
R00080,Never had the app crash on me once. The thermostat setup was smooth. This started after the update.,3,2026-09-02,3.3.0,0,praise
R00081,Battery saver mode does nothing -- the smart lock stream keeps running in the background. Really disappointing.,1,2026-04-16,3.3.2,1,battery_drain
R00082,The latest update crashes on launch whenever my video doorbell is connected.,3,2026-06-11,3.4.0,1,crash
R00083,Would love Apple Watch support to check the garage sensor quickly. Hope this gets fixed soon.,4,2026-07-30,3.3.0,0,feature_request
R00084,App keeps crashing every time I open the kitchen plug controls on version 3.4.0. Hope this gets fixed soon.,3,2026-01-18,3.2.0,1,crash
R00085,Every tap has a delay on 3.4.0. The living room bulb controls feel like they're on dial-up.,4,2026-04-04,3.3.2,1,performance
R00086,Phone battery dropped 15% during a 20-minute garage sensor live view. Fix the power usage. This started after the update.,1,2026-07-02,3.3.2,1,battery_drain
R00087,Search in the garage sensor history times out on anything older than a week. Really disappointing.,1,2026-07-29,3.4.0,1,performance
R00088,"Best smart home app I've used, if only the bedroom speaker page didn't lag so badly.",1,2026-08-29,3.3.2,1,performance
R00089,Slider for the thermostat jumps around and won't land on the value I pick. Hope this gets fixed soon.,2,2026-03-13,3.3.0,1,ui_bug
R00090,Tapping notifications for the smart lock crashes the app every single time.,2,2026-06-13,3.4.0,1,crash
R00091,"Since 3.4.1, the app drains battery even in the background. video doorbell polling is out of control.",2,2026-09-17,3.4.1,1,battery_drain
R00092,App disconnects from the smart lock whenever my phone switches between Wi-Fi and data. Reinstalling didn't help.,5,2026-03-20,3.3.2,1,connectivity
R00093,Scrolling the living room bulb event history stutters and freezes the whole app. Otherwise I like the app.,3,2026-05-21,3.2.0,1,performance
R00094,Intermittent connectivity: security camera responds maybe one time out of three. Reinstalling didn't help.,2,2026-09-09,3.3.0,1,connectivity
R00095,'Device offline' error all day for my smart lock even though it's two feet from the router. Support was no help.,3,2026-05-04,3.3.2,1,connectivity
R00096,The back button from the security camera settings dumps me to the login screen instead of home.,1,2026-03-10,3.4.0,1,ui_bug
R00097,The new 3.2.0 update made the garage sensor controls so much snappier. Great work. Considering switching apps.,5,2026-03-19,3.3.2,0,praise
R00098,Does the living room bulb work without Wi-Fi? Wondering about offline mode. Anyone else seeing this?,4,2026-07-27,3.4.1,0,question
R00099,Icons for the kitchen plug are missing -- just empty boxes on 3.4.1. Considering switching apps.,1,2026-09-11,3.4.0,1,ui_bug
R00100,"Best smart home app I've used, if only the video doorbell page didn't lag so badly.",5,2026-02-25,3.3.2,1,performance
R00101,App crashes when I try to view the living room bulb live feed. Was fine before 3.3.0. Otherwise I like the app.,3,2026-08-13,3.2.1,1,crash
R00102,Buttons on the video doorbell schedule screen overlap so I can't tap save. Support was no help.,1,2026-05-08,3.3.2,1,ui_bug
R00103,Five stars. The garage sensor routines run perfectly every morning. Really disappointing.,5,2026-03-26,3.2.0,0,praise
R00104,Intermittent connectivity: living room bulb responds maybe one time out of three. Hope this gets fixed soon.,4,2026-04-16,3.3.2,1,connectivity
R00105,Five stars. The living room bulb routines run perfectly every morning. Really disappointing.,5,2026-07-26,3.3.0,0,praise
R00106,App takes forever to load the garage sensor dashboard -- 20+ seconds of spinner. Honestly pretty annoyed.,4,2026-07-04,3.2.1,1,performance
R00107,Feature request: let me export thermostat history to CSV for my energy audit. This started after the update.,4,2026-01-22,3.4.0,0,feature_request
R00108,"Best smart home app I've used, if only the bedroom speaker page didn't lag so badly. Honestly pretty annoyed.",1,2026-03-13,3.4.0,1,performance
R00109,Best smart home app I've tried. The garage sensor automations are rock solid. Considering switching apps.,4,2026-06-27,3.2.0,0,praise
R00110,"Really like the design, but logging in has been broken for me since 3.4.0. Otherwise I like the app.",3,2026-02-20,3.3.2,1,login_auth
R00111,Intermittent connectivity: living room bulb responds maybe one time out of three. Support was no help.,2,2026-07-14,3.2.0,1,connectivity
R00112,Really impressed with how reliable the smart lock connection is.,5,2026-08-30,3.4.1,0,praise
R00113,App keeps crashing every time I open the garage sensor controls on version 3.2.0.,1,2026-05-05,3.4.0,1,crash
R00114,Icons for the security camera are missing -- just empty boxes on 3.3.2. Really disappointing.,1,2026-02-24,3.3.2,1,ui_bug
R00115,Constant location polling for the garage sensor geofence is killing my battery. Honestly pretty annoyed.,1,2026-07-09,3.2.0,1,battery_drain
R00116,Love this app! My smart lock setup took five minutes and everything just works. This started after the update.,4,2026-02-20,3.4.1,0,praise
R00117,Can't log in since 3.2.1 -- 'invalid credentials' even though my password is right. Anyone else seeing this?,3,2026-04-20,3.2.0,1,login_auth
R00118,Would love voice control shortcuts for the smart lock beyond the basics.,3,2026-01-06,3.3.0,0,feature_request
R00119,Best smart home app I've tried. The thermostat automations are rock solid.,3,2026-07-07,3.2.1,0,praise
R00120,"Really happy with the bedroom speaker itself, but the app UI shows the wrong status half the time.",1,2026-02-06,3.3.2,1,ui_bug
R00121,App disconnects from the smart plug whenever my phone switches between Wi-Fi and data. Considering switching apps.,2,2026-06-08,3.3.2,1,connectivity
R00122,The app keeps getting better. My garage sensor has never been easier to manage. This started after the update.,5,2026-02-11,3.2.0,0,praise
R00123,"Five stars for the features, but the battery drain from the smart plug sync is brutal. Considering switching apps.",1,2026-06-20,3.3.2,1,battery_drain
R00124,The new 3.4.1 update made the video doorbell controls so much snappier. Great work. Really disappointing.,5,2026-04-25,3.3.2,0,praise
R00125,Battery saver mode does nothing -- the video doorbell stream keeps running in the background. Support was no help.,1,2026-06-14,3.4.1,1,battery_drain
R00126,Slider for the video doorbell jumps around and won't land on the value I pick. Support was no help.,1,2026-02-23,3.4.1,1,ui_bug
R00127,How do I share smoke detector access with my partner? Can't find the option in 3.4.0. Otherwise I like the app.,4,2026-03-08,3.3.2,0,question
R00128,App takes forever to load the smart plug dashboard -- 20+ seconds of spinner. Otherwise I like the app.,4,2026-02-27,3.4.0,1,performance
R00129,"Huge fan of the product, but the UI on the video doorbell page is glitchy and unreadable. Reinstalling didn't help.",1,2026-07-12,3.2.0,1,ui_bug
R00130,It'd be nice to get a weekly summary email of my smart plug activity. Really disappointing.,5,2026-01-18,3.4.0,0,feature_request
R00131,How do I reset the living room bulb energy stats? They seem off this month. Hope this gets fixed soon.,1,2026-06-27,3.3.0,0,question
